ds,y
2020-01-29 23:00:00,48217.00
2020-01-30 00:00:00,16322.00
2020-01-30 01:00:00,9193.00
2020-01-30 02:00:00,7939.00
2020-01-30 03:00:00,7243.00
2020-01-30 04:00:00,7883.00
2020-01-30 05:00:00,7600.00
2020-01-30 06:00:00,4101.00
2020-01-30 07:00:00,5123.00
2020-01-30 08:00:00,6828.00
2020-01-30 09:00:00,14460.00
2020-01-30 10:00:00,39037.00
2020-01-30 11:00:00,70330.00
2020-01-30 12:00:00,89227.00
2020-01-30 13:00:00,164599.00
2020-01-30 14:00:00,227135.00
2020-01-30 15:00:00,196221.00
2020-01-30 16:00:00,132243.00
2020-01-30 17:00:00,129828.00
2020-01-30 18:00:00,188109.00
2020-01-30 19:00:00,160825.00
2020-01-30 20:00:00,146992.00
2020-01-30 21:00:00,141062.00
2020-01-30 22:00:00,51518.00
2020-01-30 23:00:00,21746.00
2020-01-31 00:00:00,11435.00
2020-01-31 01:00:00,8491.00
2020-01-31 02:00:00,11622.00
2020-01-31 03:00:00,14858.00
2020-01-31 04:00:00,11848.00
2020-01-31 05:00:00,4001.00
2020-01-31 06:00:00,6068.00
2020-01-31 07:00:00,5463.00
2020-01-31 08:00:00,12308.00
2020-01-31 09:00:00,21359.00
2020-01-31 10:00:00,59967.00
2020-01-31 11:00:00,105296.00
2020-01-31 12:00:00,117640.00
2020-01-31 13:00:00,194595.00
2020-01-31 14:00:00,248942.00
2020-01-31 15:00:00,273429.00
2020-01-31 16:00:00,171331.00
2020-01-31 17:00:00,145904.00
2020-01-31 18:00:00,206234.00
2020-01-31 19:00:00,195748.00
2020-01-31 20:00:00,120678.00
2020-01-31 21:00:00,90660.00
2020-01-31 22:00:00,29422.00
2020-01-31 23:00:00,16614.00
2020-02-01 00:00:00,9831.00
2020-02-01 01:00:00,5968.00
2020-02-01 02:00:00,5869.00
2020-02-01 03:00:00,5183.00
2020-02-01 04:00:00,3086.00
2020-02-01 05:00:00,2783.00
2020-02-01 06:00:00,2644.00
2020-02-01 07:00:00,2708.00
2020-02-01 08:00:00,5171.00
2020-02-01 09:00:00,5434.00
2020-02-01 10:00:00,4555.00
2020-02-01 11:00:00,4624.00
2020-02-01 12:00:00,6196.00
2020-02-01 13:00:00,3442.00
2020-02-01 14:00:00,3612.00
2020-02-01 15:00:00,5942.00
2020-02-01 16:00:00,6321.00
2020-02-01 17:00:00,5431.00
2020-02-01 18:00:00,5731.00
2020-02-01 19:00:00,7353.00
2020-02-01 20:00:00,12233.00
2020-02-01 21:00:00,5249.00
2020-02-01 22:00:00,3141.00
2020-02-01 23:00:00,4477.00
2020-02-02 00:00:00,3634.00
2020-02-02 01:00:00,3835.00
2020-02-02 02:00:00,2654.00
2020-02-02 03:00:00,2749.00
2020-02-02 04:00:00,2660.00
2020-02-02 05:00:00,2603.00
2020-02-02 06:00:00,2579.00
2020-02-02 07:00:00,2531.00
2020-02-02 08:00:00,2662.00
2020-02-02 09:00:00,4166.00
2020-02-02 10:00:00,2678.00
2020-02-02 11:00:00,3311.00
2020-02-02 12:00:00,4076.00
2020-02-02 13:00:00,5572.00
2020-02-02 14:00:00,2877.00
2020-02-02 15:00:00,3991.00
2020-02-02 16:00:00,5871.00
2020-02-02 17:00:00,6134.00
2020-02-02 18:00:00,5058.00
2020-02-02 19:00:00,12834.00
2020-02-02 20:00:00,9774.00
2020-02-02 21:00:00,13811.00
2020-02-02 22:00:00,11203.00
2020-02-02 23:00:00,15503.00
2020-02-03 00:00:00,9557.00
2020-02-03 01:00:00,14850.00
2020-02-03 02:00:00,7085.00
2020-02-03 03:00:00,8694.00
2020-02-03 04:00:00,13036.00
2020-02-03 05:00:00,5288.00
2020-02-03 06:00:00,6315.00
2020-02-03 07:00:00,8651.00
2020-02-03 08:00:00,10552.00
2020-02-03 09:00:00,20095.00
2020-02-03 10:00:00,46209.00
2020-02-03 11:00:00,74691.00
2020-02-03 12:00:00,120744.00
2020-02-03 13:00:00,170244.00
2020-02-03 14:00:00,224522.00
2020-02-03 15:00:00,238600.00
2020-02-03 16:00:00,141936.00
2020-02-03 17:00:00,139315.00
2020-02-03 18:00:00,184919.00
2020-02-03 19:00:00,169530.00
2020-02-03 20:00:00,183453.00
2020-02-03 21:00:00,151654.00
2020-02-03 22:00:00,71180.00
2020-02-03 23:00:00,25229.00
