,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
242,2020-01-16 02:30:00,67903.13255800665,-7605.850723301158,80551.63789397485,67903.13255800665,67903.13255800665,-31047.356600705913,-31047.356600705913,-31047.356600705913,-46979.33563187024,-46979.33563187024,-46979.33563187024,15931.979031164334,15931.979031164334,15931.979031164334,0.0,0.0,0.0,36855.775957300735
243,2020-01-16 03:30:00,67875.38989003327,-10226.029707632786,81649.2020294973,67875.38989003327,67875.38989003327,-33125.4716020556,-33125.4716020556,-33125.4716020556,-49643.050180275255,-49643.050180275255,-49643.050180275255,16517.57857821966,16517.57857821966,16517.57857821966,0.0,0.0,0.0,34749.91828797767
244,2020-01-16 04:30:00,67847.6472220599,-15762.404506187704,76107.03500424867,67847.6472220599,67847.6472220599,-39856.14488430358,-39856.14488430358,-39856.14488430358,-57019.69166954889,-57019.69166954889,-57019.69166954889,17163.546785245293,17163.546785245293,17163.546785245293,0.0,0.0,0.0,27991.502337756312
245,2020-01-16 05:30:00,67819.90455408653,-18319.466772219377,70802.8593446205,67819.90455408653,67819.90455408653,-43666.56280404807,-43666.56280404807,-43666.56280404807,-61537.458287439724,-61537.458287439724,-61537.458287439724,17870.895483391632,17870.895483391632,17870.895483391632,0.0,0.0,0.0,24153.34175003846
246,2020-01-16 06:30:00,67792.16188611316,-18414.66350827549,72616.13188176397,67792.16188611316,67792.16188611316,-40544.627840953406,-40544.627840953406,-40544.627840953406,-59184.61335288865,-59184.61335288865,-59184.61335288865,18639.98551193522,18639.98551193522,18639.98551193522,0.0,0.0,0.0,27247.53404515975
247,2020-01-16 07:30:00,67764.4192181398,-10398.567415690122,74798.22017454823,67764.4192181398,67764.4192181398,-33894.23282379832,-33894.23282379832,-33894.23282379832,-53364.68463193439,-53364.68463193439,-53364.68463193439,19470.45180813608,19470.45180813608,19470.45180813608,0.0,0.0,0.0,33870.18639434148
248,2020-01-16 08:30:00,67736.67655016642,-5438.154492892235,82615.22390212514,67736.67655016642,67736.67655016642,-28991.872389423716,-28991.872389423716,-28991.872389423716,-49353.007420810885,-49353.007420810885,-49353.007420810885,20361.13503138717,20361.13503138717,20361.13503138717,0.0,0.0,0.0,38744.8041607427
249,2020-01-16 09:30:00,67708.93388219304,-3723.4233456030756,90152.14013583891,67708.93388219304,67708.93388219304,-24687.680989173856,-24687.680989173856,-24687.680989173856,-45997.70200876476,-45997.70200876476,-45997.70200876476,21310.02101959091,21310.02101959091,21310.02101959091,0.0,0.0,0.0,43021.25289301919
250,2020-01-16 10:30:00,67681.19121555837,9078.374931084642,100428.3996644261,67681.19121555837,67681.19121555837,-12311.495328496825,-12311.495328496825,-12311.495328496825,-34625.68462019761,-34625.68462019761,-34625.68462019761,22314.189291700786,22314.189291700786,22314.189291700786,0.0,0.0,0.0,55369.69588706155
251,2020-01-16 11:30:00,67653.4485489237,39866.41747703845,128554.46630355934,67653.4485489237,67653.4485489237,15773.98573864845,15773.98573864845,15773.98573864845,-7595.7859691790045,-7595.7859691790045,-7595.7859691790045,23369.77170782745,23369.77170782745,23369.77170782745,0.0,0.0,0.0,83427.43428757215
