ds,y
2020-01-17 14:30:00,239770.00
2020-01-17 15:30:00,238464.00
2020-01-17 16:30:00,211906.00
2020-01-17 17:30:00,206773.00
2020-01-17 18:30:00,273732.00
2020-01-17 19:30:00,204999.00
2020-01-17 20:30:00,140891.00
2020-01-17 21:30:00,101133.00
2020-01-17 22:30:00,66405.00
2020-01-17 23:30:00,38798.00
2020-01-18 00:30:00,16570.00
2020-01-18 01:30:00,11678.00
2020-01-18 02:30:00,11071.00
2020-01-18 03:30:00,8778.00
2020-01-18 04:30:00,6666.00
2020-01-18 05:30:00,6099.00
2020-01-18 06:30:00,6681.00
2020-01-18 07:30:00,7487.00
2020-01-18 08:30:00,5906.00
2020-01-18 09:30:00,5995.00
2020-01-18 10:30:00,7578.00
2020-01-18 11:30:00,5636.00
2020-01-18 12:30:00,7368.00
2020-01-18 13:30:00,8990.00
2020-01-18 14:30:00,7399.00
2020-01-18 15:30:00,12236.00
2020-01-18 16:30:00,15321.00
2020-01-18 17:30:00,11815.00
2020-01-18 18:30:00,11381.00
2020-01-18 19:30:00,10913.00
2020-01-18 20:30:00,12354.00
2020-01-18 21:30:00,12103.00
2020-01-18 22:30:00,9991.00
2020-01-18 23:30:00,11487.00
2020-01-19 00:30:00,10764.00
2020-01-19 01:30:00,7467.00
2020-01-19 02:30:00,6891.00
2020-01-19 03:30:00,7817.00
2020-01-19 04:30:00,6308.00
2020-01-19 05:30:00,5966.00
2020-01-19 06:30:00,4649.00
2020-01-19 07:30:00,4539.00
2020-01-19 08:30:00,5251.00
2020-01-19 09:30:00,6288.00
2020-01-19 10:30:00,6943.00
2020-01-19 11:30:00,8111.00
2020-01-19 12:30:00,8677.00
2020-01-19 13:30:00,8572.00
2020-01-19 14:30:00,8354.00
2020-01-19 15:30:00,8383.00
2020-01-19 16:30:00,8997.00
2020-01-19 17:30:00,13620.00
2020-01-19 18:30:00,15584.00
2020-01-19 19:30:00,15471.00
2020-01-19 20:30:00,11317.00
2020-01-19 21:30:00,17680.00
2020-01-19 22:30:00,9791.00
2020-01-19 23:30:00,11541.00
2020-01-20 00:30:00,10940.00
2020-01-20 01:30:00,7078.00
2020-01-20 02:30:00,17649.00
2020-01-20 03:30:00,13070.00
2020-01-20 04:30:00,12391.00
2020-01-20 05:30:00,7810.00
2020-01-20 06:30:00,7465.00
2020-01-20 07:30:00,7882.00
2020-01-20 08:30:00,10762.00
2020-01-20 09:30:00,20626.00
2020-01-20 10:30:00,46015.00
2020-01-20 11:30:00,65593.00
2020-01-20 12:30:00,90323.00
2020-01-20 13:30:00,146207.00
2020-01-20 14:30:00,162514.00
2020-01-20 15:30:00,178279.00
2020-01-20 16:30:00,118995.00
2020-01-20 17:30:00,108726.00
2020-01-20 18:30:00,163868.00
2020-01-20 19:30:00,168032.00
2020-01-20 20:30:00,158714.00
2020-01-20 21:30:00,126804.00
2020-01-20 22:30:00,62207.00
2020-01-20 23:30:00,22746.00
2020-01-21 00:30:00,17147.00
2020-01-21 01:30:00,15217.00
2020-01-21 02:30:00,14600.00
2020-01-21 03:30:00,16701.00
2020-01-21 04:30:00,10441.00
2020-01-21 05:30:00,9739.00
2020-01-21 06:30:00,11345.00
2020-01-21 07:30:00,9295.00
2020-01-21 08:30:00,9533.00
2020-01-21 09:30:00,23609.00
2020-01-21 10:30:00,38382.00
2020-01-21 11:30:00,62245.00
2020-01-21 12:30:00,79752.00
2020-01-21 13:30:00,133153.00
2020-01-21 14:30:00,171263.00
2020-01-21 15:30:00,176208.00
2020-01-21 16:30:00,121722.00
2020-01-21 17:30:00,114490.00
2020-01-21 18:30:00,178173.00
2020-01-21 19:30:00,180479.00
2020-01-21 20:30:00,165043.00
2020-01-21 21:30:00,168257.00
2020-01-21 22:30:00,99470.00
2020-01-21 23:30:00,40994.00
2020-01-22 00:30:00,26557.00
2020-01-22 01:30:00,18937.00
2020-01-22 02:30:00,17577.00
2020-01-22 03:30:00,20955.00
